rank,word,count,complexity_band
392,yours,1,Band 1 - Basic/Everyday
393,ability,30,Band 2 - Elementary
394,absolutely,1,Band 2 - Elementary
395,accept,31,Band 2 - Elementary
396,according,28,Band 2 - Elementary
397,account,17,Band 2 - Elementary
398,acted,1,Band 2 - Elementary
399,actions,30,Band 2 - Elementary
400,activities,34,Band 2 - Elementary
401,actual,1,Band 2 - Elementary
402,afterwards,1,Band 2 - Elementary
403,ahead,1,Band 2 - Elementary
404,alcohol,1,Band 2 - Elementary
405,allowed,1,Band 2 - Elementary
406,allowing,1,Band 2 - Elementary
407,angels,1,Band 2 - Elementary
408,anger,1,Band 2 - Elementary
409,answer,52,Band 2 - Elementary
410,anymore,1,Band 2 - Elementary
411,appearing,1,Band 2 - Elementary
412,apply,64,Band 2 - Elementary
413,area,27,Band 2 - Elementary
414,argue,1,Band 2 - Elementary
415,army,1,Band 2 - Elementary
416,attack,1,Band 2 - Elementary
417,attend,39,Band 2 - Elementary
418,author,1,Band 2 - Elementary
419,avoid,18,Band 2 - Elementary
420,avoided,1,Band 2 - Elementary
421,awake,1,Band 2 - Elementary
422,away,33,Band 2 - Elementary
423,background,20,Band 2 - Elementary
424,bands,1,Band 2 - Elementary
425,bear,19,Band 2 - Elementary
426,beauty,1,Band 2 - Elementary
427,belongs,1,Band 2 - Elementary
428,benefits,1,Band 2 - Elementary
429,billions,1,Band 2 - Elementary
430,bleed,1,Band 2 - Elementary
431,bless,69,Band 2 - Elementary
432,blessings,114,Band 2 - Elementary
433,breaking,1,Band 2 - Elementary
434,brought,1,Band 2 - Elementary
435,calling,21,Band 2 - Elementary
436,carrying,1,Band 2 - Elementary
437,casually,1,Band 2 - Elementary
438,chap,1,Band 2 - Elementary
439,chapter,157,Band 2 - Elementary
440,cheat,1,Band 2 - Elementary
441,claimed,1,Band 2 - Elementary
442,clearer,1,Band 2 - Elementary
443,closet,1,Band 2 - Elementary
444,closing,1,Band 2 - Elementary
445,clothing,1,Band 2 - Elementary
446,coin,1,Band 2 - Elementary
447,communities,1,Band 2 - Elementary
448,company,1,Band 2 - Elementary
449,conclusion,1,Band 2 - Elementary
450,confidence,18,Band 2 - Elementary
451,confirmed,38,Band 2 - Elementary
452,congratulate,1,Band 2 - Elementary
453,contact,44,Band 2 - Elementary
454,covers,1,Band 2 - Elementary
455,create,23,Band 2 - Elementary
456,created,17,Band 2 - Elementary
457,creatures,1,Band 2 - Elementary
458,credit,1,Band 2 - Elementary
459,crowd,1,Band 2 - Elementary
460,daily,50,Band 2 - Elementary
461,deciding,1,Band 2 - Elementary
462,deeper,1,Band 2 - Elementary
463,deepest,1,Band 2 - Elementary
464,defined,1,Band 2 - Elementary
465,definition,1,Band 2 - Elementary
466,delicious,1,Band 2 - Elementary
467,delivered,1,Band 2 - Elementary
468,dent,1,Band 2 - Elementary
469,depending,1,Band 2 - Elementary
470,desire,39,Band 2 - Elementary
471,detailed,1,Band 2 - Elementary
472,develop,39,Band 2 - Elementary
473,developed,1,Band 2 - Elementary
474,developing,1,Band 2 - Elementary
475,development,1,Band 2 - Elementary
476,difficult,17,Band 2 - Elementary
477,digital,45,Band 2 - Elementary
478,direction,23,Band 2 - Elementary
479,directly,1,Band 2 - Elementary
480,discovered,1,Band 2 - Elementary
481,discuss,64,Band 2 - Elementary
482,disease,1,Band 2 - Elementary
483,document,1,Band 2 - Elementary
484,download,1,Band 2 - Elementary
485,drawing,1,Band 2 - Elementary
486,draws,1,Band 2 - Elementary
487,drinking,1,Band 2 - Elementary
488,drinks,1,Band 2 - Elementary
489,drugs,1,Band 2 - Elementary
490,earned,1,Band 2 - Elementary
491,earthquake,1,Band 2 - Elementary
492,eaten,1,Band 2 - Elementary
493,edge,1,Band 2 - Elementary
494,effort,28,Band 2 - Elementary
495,emotion,1,Band 2 - Elementary
496,employees,1,Band 2 - Elementary
497,encourage,43,Band 2 - Elementary
498,entire,1,Band 2 - Elementary
499,equipment,1,Band 2 - Elementary
500,especially,20,Band 2 - Elementary
501,exactly,1,Band 2 - Elementary
502,exciting,1,Band 2 - Elementary
503,exercise,28,Band 2 - Elementary
504,existed,1,Band 2 - Elementary
505,expects,1,Band 2 - Elementary
506,expensive,1,Band 2 - Elementary
507,experience,72,Band 2 - Elementary
508,explain,38,Band 2 - Elementary
509,express,25,Band 2 - Elementary
510,extend,39,Band 2 - Elementary
511,failure,1,Band 2 - Elementary
512,faith,266,Band 2 - Elementary
513,faithful,24,Band 2 - Elementary
514,feelings,41,Band 2 - Elementary
515,female,1,Band 2 - Elementary
516,finding,63,Band 2 - Elementary
517,finish,1,Band 2 - Elementary
518,fits,1,Band 2 - Elementary
519,focus,41,Band 2 - Elementary
520,follower,1,Band 2 - Elementary
521,forced,1,Band 2 - Elementary
522,freely,1,Band 2 - Elementary
523,fresh,1,Band 2 - Elementary
524,friendly,1,Band 2 - Elementary
525,fullest,1,Band 2 - Elementary
526,gain,23,Band 2 - Elementary
527,gathered,1,Band 2 - Elementary
528,general,81,Band 2 - Elementary
529,generation,1,Band 2 - Elementary
530,gentle,1,Band 2 - Elementary
531,ghost,207,Band 2 - Elementary
532,glory,23,Band 2 - Elementary
533,gospel,565,Band 2 - Elementary
534,greeting,1,Band 2 - Elementary
535,grown,1,Band 2 - Elementary
536,habit,1,Band 2 - Elementary
537,happiness,27,Band 2 - Elementary
538,healthier,1,Band 2 - Elementary
539,hearing,1,Band 2 - Elementary
540,held,1,Band 2 - Elementary
541,helpful,19,Band 2 - Elementary
542,history,46,Band 2 - Elementary
543,hold,22,Band 2 - Elementary
544,holder,1,Band 2 - Elementary
545,holy,235,Band 2 - Elementary
546,honestly,1,Band 2 - Elementary
547,ideal,1,Band 2 - Elementary
548,identify,48,Band 2 - Elementary
549,ignore,1,Band 2 - Elementary
550,ignored,1,Band 2 - Elementary
551,images,1,Band 2 - Elementary
552,important,87,Band 2 - Elementary
553,improve,49,Band 2 - Elementary
554,including,33,Band 2 - Elementary
555,increase,22,Band 2 - Elementary
556,individuals,17,Band 2 - Elementary
557,influence,42,Band 2 - Elementary
558,interview,37,Band 2 - Elementary
559,introduced,1,Band 2 - Elementary
560,invitation,59,Band 2 - Elementary
561,invite,143,Band 2 - Elementary
562,inviting,22,Band 2 - Elementary
563,iron,1,Band 2 - Elementary
564,isolated,1,Band 2 - Elementary
565,issued,1,Band 2 - Elementary
566,joins,1,Band 2 - Elementary
567,journal,41,Band 2 - Elementary
568,judged,1,Band 2 - Elementary
569,judgments,1,Band 2 - Elementary
570,jumping,1,Band 2 - Elementary
571,killed,1,Band 2 - Elementary
572,kindly,1,Band 2 - Elementary
573,kingdom,21,Band 2 - Elementary
574,language,101,Band 2 - Elementary
575,laying,1,Band 2 - Elementary
576,leadership,24,Band 2 - Elementary
577,lean,1,Band 2 - Elementary
578,learner,1,Band 2 - Elementary
579,lens,1,Band 2 - Elementary
580,lies,1,Band 2 - Elementary
581,lifting,1,Band 2 - Elementary
582,links,1,Band 2 - Elementary
583,liter,1,Band 2 - Elementary
584,local,56,Band 2 - Elementary
585,locally,1,Band 2 - Elementary
586,major,1,Band 2 - Elementary
587,manage,1,Band 2 - Elementary
588,manner,1,Band 2 - Elementary
589,market,1,Band 2 - Elementary
590,marking,1,Band 2 - Elementary
591,marriage,27,Band 2 - Elementary
592,materials,1,Band 2 - Elementary
593,measuring,1,Band 2 - Elementary
594,media,61,Band 2 - Elementary
595,medical,1,Band 2 - Elementary
596,mental,1,Band 2 - Elementary
597,mentally,1,Band 2 - Elementary
598,mentioned,1,Band 2 - Elementary
599,metal,1,Band 2 - Elementary
600,method,1,Band 2 - Elementary
601,millions,1,Band 2 - Elementary
602,mission,163,Band 2 - Elementary
603,missionary,157,Band 2 - Elementary
604,mobile,1,Band 2 - Elementary
605,monthly,1,Band 2 - Elementary
606,mouths,1,Band 2 - Elementary
607,musical,1,Band 2 - Elementary
608,narrow,1,Band 2 - Elementary
609,neighborhood,1,Band 2 - Elementary
